,WMO,PROF,JULD,LON,LAT,PRES,PRES_ERROR,TEMP,TEMP_ERROR,PSAL,PSAL_ERROR,DOXY,DOXY_ERROR,DEPTH,SIGMA0,THETA0,DOY,DOY_SIN,DOY_COS,YEAR,BATH
262,6903549,19,2019-10-12 11:16:00.000000000,-4.865553333333334,68.44149833333333,1837.4000244140625,2.4000000953674316,-0.7170000076293945,0.0020000000949949026,34.90599822998047,0.009999999776482582,286.11810302734375,15.268104553222656,1811.0074632523404,1028.0731979328614,-0.8010055317671892,285,-0.981947190186646,0.18915526872004093,2019,3512.0
263,6903549,20,2019-10-17 11:18:00.000000000,-5.081045,67.91252333333334,21.0,2.4000000953674316,7.752999782562256,0.0020000000949949026,34.994998931884766,0.009999999776482582,277.8619384765625,15.07659912109375,20.789016963459794,1027.309238665701,7.750932817950421,290,-0.9620675724981452,0.27281126433401914,2019,3550.0
264,6903549,20,2019-10-17 11:18:00.000000000,-5.081045,67.91252333333334,99.0,2.4000000953674316,6.355000019073486,0.0020000000949949026,35.01499938964844,0.009999999776482582,274.0992431640625,15.432520866394043,97.98682583646811,1027.521758301276,6.346254514875443,290,-0.9620675724981452,0.27281126433401914,2019,3550.0
265,6903549,20,2019-10-17 11:18:00.000000000,-5.081045,67.91252333333334,117.0,2.4000000953674316,5.961999893188477,0.0020000000949949026,34.986000061035156,0.009999999776482582,277.0312194824219,15.541935920715332,115.79756102143898,1027.5499872403816,5.952009882854087,290,-0.9620675724981452,0.27281126433401914,2019,3550.0
266,6903549,20,2019-10-17 11:18:00.000000000,-5.081045,67.91252333333334,174.89999389648438,2.4000000953674316,4.866000175476074,0.0020000000949949026,34.93600082397461,0.009999999776482582,284.87353515625,15.84854793548584,173.07823145868323,1027.6435805461506,4.852504316280776,290,-0.9620675724981452,0.27281126433401914,2019,3550.0
267,6903549,20,2019-10-17 11:18:00.000000000,-5.081045,67.91252333333334,192.89999389648438,2.4000000953674316,4.488999843597412,0.0020000000949949026,34.91699981689453,0.009999999776482582,286.0492858886719,15.962639808654785,190.88242781169134,1027.6710193500448,4.474670109379792,290,-0.9620675724981452,0.27281126433401914,2019,3550.0
268,6903549,20,2019-10-17 11:18:00.000000000,-5.081045,67.91252333333334,199.10000610351562,2.4000000953674316,4.390999794006348,0.0020000000949949026,34.92100143432617,0.009999999776482582,286.2524719238281,15.985692977905273,197.0146378266251,1027.6849866279658,4.376353610732017,290,-0.9620675724981452,0.27281126433401914,2019,3550.0
269,6903549,20,2019-10-17 11:18:00.000000000,-5.081045,67.91252333333334,247.0,2.4000000953674316,4.163000106811523,0.0020000000949949026,34.96200180053711,0.009999999776482582,287.1070251464844,15.989858627319336,244.3846176491644,1027.7425365008312,4.145170030420876,290,-0.9620675724981452,0.27281126433401914,2019,3550.0
270,6903549,20,2019-10-17 11:18:00.000000000,-5.081045,67.91252333333334,647.0,2.4000000953674316,0.06300000101327896,0.0020000000949949026,34.89699935913086,0.009999999776482582,304.6114501953125,16.959861755371094,639.5327497032283,1028.0239693758717,0.036082373631034816,290,-0.9620675724981452,0.27281126433401914,2019,3550.0
271,6903549,20,2019-10-17 11:18:00.000000000,-5.081045,67.91252333333334,899.0,2.4000000953674316,-0.17100000381469727,0.0020000000949949026,34.90599822998047,0.009999999776482582,295.6358947753906,16.6187686920166,888.0883264992336,1028.0444951572742,-0.20866840098805503,290,-0.9620675724981452,0.27281126433401914,2019,3550.0
272,6903549,20,2019-10-17 11:18:00.000000000,-5.081045,67.91252333333334,1079.0,2.4000000953674316,-0.3140000104904175,0.0020000000949949026,34.90700149536133,0.009999999776482582,293.78424072265625,16.368732452392578,1065.44608299558,1028.0530975771687,-0.3596548345865618,290,-0.9620675724981452,0.27281126433401914,2019,3550.0
273,6903549,21,2019-10-22 11:14:00.000000000,-5.009636666666666,67.79177166666666,163.10000610351562,2.4000000953674316,4.711999893188477,0.0020000000949949026,34.93899917602539,0.009999999776482582,285.7937316894531,15.92209529876709,161.40702084407,1027.663352128263,4.699626491418731,295,-0.9350748843515574,0.3544502230989869,2019,3567.0
274,6903549,21,2019-10-22 11:14:00.000000000,-5.009636666666666,67.79177166666666,185.0,2.4000000953674316,4.5960001945495605,0.0020000000949949026,34.95000076293945,0.009999999776482582,286.1689453125,15.930781364440918,183.06998726198722,1027.6852949403815,4.582101082505853,295,-0.9350748843515574,0.3544502230989869,2019,3567.0
275,6903549,21,2019-10-22 11:14:00.000000000,-5.009636666666666,67.79177166666666,269.0,2.4000000953674316,3.796999931335449,0.0020000000949949026,34.95399856567383,0.009999999776482582,289.974853515625,16.09282875061035,266.1395917605903,1027.7744416553235,3.7783259649204743,295,-0.9350748843515574,0.3544502230989869,2019,3567.0
276,6903549,21,2019-10-22 11:14:00.000000000,-5.009636666666666,67.79177166666666,503.0,2.4000000953674316,0.824999988079071,0.0020000000949949026,34.90700149536133,0.009999999776482582,295.4151916503906,16.88861846923828,497.37064966962436,1027.9861778797788,0.8014476156158952,295,-0.9350748843515574,0.3544502230989869,2019,3567.0
277,6903549,21,2019-10-22 11:14:00.000000000,-5.009636666666666,67.79177166666666,1049.0,2.4000000953674316,-0.3059999942779541,0.0020000000949949026,34.90700149536133,0.009999999776482582,294.2000732421875,16.41657829284668,1035.9050143087338,1028.0526041962555,-0.35017268783527333,295,-0.9350748843515574,0.3544502230989869,2019,3567.0
278,6903549,21,2019-10-22 11:14:00.000000000,-5.009636666666666,67.79177166666666,1059.0,2.4000000953674316,-0.31700000166893005,0.0020000000949949026,34.90700149536133,0.009999999776482582,294.2943420410156,16.403961181640625,1045.755269852401,1028.0531763014358,-0.36159054663797174,295,-0.9350748843515574,0.3544502230989869,2019,3567.0
279,6903549,21,2019-10-22 11:14:00.000000000,-5.009636666666666,67.79177166666666,1317.4000244140625,2.4000000953674316,-0.503000020980835,0.0020000000949949026,34.90599822998047,0.009999999776482582,293.3121337890625,16.041311264038086,1300.1249549399206,1028.0620701470505,-0.5594646652784645,295,-0.9350748843515574,0.3544502230989869,2019,3567.0
280,6903549,21,2019-10-22 11:14:00.000000000,-5.009636666666666,67.79177166666666,1972.300048828125,2.4000000953674316,-0.699999988079071,0.0020000000949949026,34.90599822998047,0.009999999776482582,286.3934326171875,15.045636177062988,1943.4354631722636,1028.0729142213117,-0.7928019326576361,295,-0.9350748843515574,0.3544502230989869,2019,3567.0
281,6903549,22,2019-10-27 11:16:00.000000000,-5.084521666666666,67.32345166666667,1065.0,2.4000000953674316,-0.3370000123977661,0.0020000000949949026,34.90599822998047,0.009999999776482582,292.9219970703125,16.401954650878906,1051.6973151883533,1028.0533680123974,-0.3817181777944098,300,-0.9011686968561569,0.4334685453485363,2019,3569.0
